mode,heated,max_steps,cem,rel_error_mean,rel_error_std,unique_mean,n_runs
ballistic,True,5000,True,15.597945620326856,11.354035411007507,0.002384194438927746,7
ballistic,False,2000,False,28.302078920383224,21.6548899185904,0.0018382473703547491,24
ballistic,False,2000,True,28.968911900696963,22.47134835475399,0.001922786385839238,24
discrete,False,500,True,30.19920362838908,36.50326560095776,0.07334688847026373,22
ballistic,False,1000,False,30.508377920272633,22.519777330764565,0.02234094570939794,24
ballistic,False,5000,False,31.40965844857745,24.041033574946457,0.0017385636146497404,24
ballistic,False,5000,True,32.285413556094284,26.71990876766644,0.08346581720825487,24
ballistic,True,2000,False,32.40674419824888,25.412538122578002,0.0028888947015742444,24
ballistic,True,2000,True,33.180033278204185,26.144772320285455,0.002618957959286112,24
ballistic,True,5000,False,34.83324741900976,22.166991215589814,0.0022541287853625777,24
ballistic,False,1000,True,35.83766209060132,27.59107568712256,0.00254051014832116,24
discrete,False,500,False,38.76761559909742,36.95398778263521,0.08740224303417982,24
discrete,False,2000,False,40.74581205118916,21.95587189565834,0.004849767188509393,24
discrete,False,5000,False,42.34590609797372,27.442694085475907,0.0048076505687886404,24
discrete,True,2000,False,42.4957120560261,20.832946665884002,0.005800181396054086,24
discrete,False,5000,True,42.54212418042824,20.025918913815556,0.04383655746949599,24
discrete,False,2000,True,42.740505767054756,22.964963280164945,0.0056994311991355896,23
discrete,False,1000,True,43.31269387218412,15.658081914131893,0.0070808637451159305,24
discrete,True,5000,False,44.74182834392919,17.799791915759485,0.004668491395756129,24
ballistic,True,1000,True,45.61565889686799,26.03710811100189,0.007818903025354087,24
discrete,True,5000,True,45.82510168228199,16.535249363692966,0.03908287233864455,24
discrete,True,1000,False,46.56479296194601,23.886857540350874,0.019898361369648156,23
discrete,True,2000,True,47.78583489290422,21.394772375484823,0.005585375802721276,23
discrete,True,1000,True,49.175581819682215,22.0315028892352,0.008611817300070062,24
ballistic,True,500,True,50.81737045353653,36.23881493011855,0.0680819122510941,24
ballistic,True,1000,False,51.29573973883392,31.11377384142791,0.0539184499546591,24
ballistic,False,500,True,54.99342333571061,21.478165942198043,0.06824849799831581,24
discrete,False,1000,False,55.16473394671055,20.052748312306456,0.030499257690167186,24
discrete,True,500,True,57.57019746022238,46.88310013667368,0.06216182698661732,22
ballistic,True,500,False,59.943363694397455,32.779461054052504,0.05994408887898233,24
discrete,True,500,False,61.96917673411406,50.63730429863129,0.08146433799905929,24
ballistic,False,500,False,63.45588767279764,30.906223468280363,0.06329154346176268,24
ballistic,False,300,True,77.84406164488372,38.06282279310546,0.09514231991804652,23
ballistic,False,300,False,81.55756497829911,26.615415938490777,0.04606568735103452,24
discrete,False,300,True,90.64449575766997,32.947069674931775,0.07763483171456471,23
discrete,True,300,False,93.33345939054679,31.768761137192598,0.06677461386272927,23
discrete,False,300,False,93.56360321185184,37.38678630840957,0.08537886064067089,24
discrete,True,300,True,95.27046672291749,15.208620284068738,0.056982244143569005,22
ballistic,True,300,True,814249.1972425679,3988518.2224657745,0.0563693295048236,24
ballistic,True,300,False,390827838.061016,1914657050.1308591,0.10510648630902371,24
discrete,False,100,False,978995266329.1265,4328634375880.022,0.2800591283106174,24
discrete,False,100,True,1.2942009245087224e+19,6.058432029382304e+19,0.17139919025979972,22
ballistic,False,100,False,2.5593837704728543e+19,6.164395660311117e+19,0.3493059444064404,24
ballistic,False,100,True,6.8940471449439306e+19,1.587291972588781e+20,0.3539009465596439,24
ballistic,True,100,False,1.0909666732886285e+26,5.344621098113394e+26,0.41684465959025846,24
discrete,True,100,True,5.235155422719161e+44,2.493713643672682e+45,0.16963980918863342,23
discrete,True,100,False,5.894104877286156e+44,2.8875098879601483e+45,0.1787959124735589,24
ballistic,True,100,True,9.608970368081925e+44,4.478855965715905e+45,0.45292166869758044,22
